# Sun->Earth Barycenter in EME2000 (km, km/sec)
# columns: epoch, x, y, z, dx, dy, dz
13-DEC-2028 15:50:00.0000 ET, +2.1078341191213917e+07, +1.3372515034957962e+08, +5.7966288101293445e+07, -2.9966476037863600e+01, +3.8103652191363229e+00, +1.6518809656313385e+00
13-DEC-2028 16:00:00.0000 ET, +2.1060361147983536e+07, +1.3372743556846088e+08, +5.7967278796290711e+07, -2.9967001322210319e+01, +3.8070310410419990e+00, +1.6504356872870973e+00
13-DEC-2028 16:10:00.0000 ET, +2.1042380789716698e+07, +1.3372971878681602e+08, +5.7968268624112621e+07, -2.9967526159412973e+01, +3.8036967987047801e+00, +1.6489903810927691e+00
13-DEC-2028 16:20:00.0000 ET, +2.1024400116681676e+07, +1.3373200000460649e+08, +5.7969257584742457e+07, -2.9968050549461385e+01, +3.8003624921766046e+00, +1.6475450470708661e+00
13-DEC-2028 16:30:00.0000 ET, +2.1006419129146770e+07, +1.3373427922179380e+08, +5.7970245678163543e+07, -2.9968574492345411e+01, +3.7970281215094133e+00, +1.6460996852439043e+00
13-DEC-2028 16:40:00.0000 ET, +2.0988437827380296e+07, +1.3373655643833947e+08, +5.7971232904359192e+07, -2.9969097988054891e+01, +3.7936936867551490e+00, +1.6446542956343984e+00
13-DEC-2028 16:50:00.0000 ET, +2.0970456211650543e+07, +1.3373883165420508e+08, +5.7972219263312750e+07, -2.9969621036579664e+01, +3.7903591879657550e+00, +1.6432088782648635e+00
13-DEC-2028 17:00:00.0000 ET, +2.0952474282225836e+07, +1.3374110486935225e+08, +5.7973204755007565e+07, -2.9970143637909597e+01, +3.7870246251931747e+00, +1.6417634331578164e+00
13-DEC-2028 17:10:00.0000 ET, +2.0934492039374489e+07, +1.3374337608374254e+08, +5.7974189379427001e+07, -2.9970665792034570e+01, +3.7836899984893582e+00, +1.6403179603357749e+00
13-DEC-2028 17:20:00.0000 ET, +2.0916509483364835e+07, +1.3374564529733765e+08, +5.7975173136554427e+07, -2.9971187498944431e+01, +3.7803553079062513e+00, +1.6388724598212563e+00
13-DEC-2028 17:30:00.0000 ET, +2.0898526614465207e+07, +1.3374791251009926e+08, +5.7976156026373252e+07, -2.9971708758629088e+01, +3.7770205534958055e+00, +1.6374269316367787e+00
13-DEC-2028 17:40:00.0000 ET, +2.0880543432943929e+07, +1.3375017772198910e+08, +5.7977138048866861e+07, -2.9972229571078422e+01, +3.7736857353099720e+00, +1.6359813758048618e+00
13-DEC-2028 17:50:00.0000 ET, +2.0862559939069360e+07, +1.3375244093296890e+08, +5.7978119204018690e+07, -2.9972749936282334e+01, +3.7703508534007022e+00, +1.6345357923480253e+00
13-DEC-2028 18:00:00.0000 ET, +2.0844576133109841e+07, +1.3375470214300045e+08, +5.7979099491812170e+07, -2.9973269854230711e+01, +3.7670159078199514e+00, +1.6330901812887895e+00
13-DEC-2028 18:10:00.0000 ET, +2.0826592015333734e+07, +1.3375696135204555e+08, +5.7980078912230723e+07, -2.9973789324913493e+01, +3.7636808986196773e+00, +1.6316445426496762e+00
13-DEC-2028 18:20:00.0000 ET, +2.0808607586009402e+07, +1.3375921856006607e+08, +5.7981057465257831e+07, -2.9974308348320584e+01, +3.7603458258518359e+00, +1.6301988764532063e+00
13-DEC-2028 18:30:00.0000 ET, +2.0790622845405210e+07, +1.3376147376702388e+08, +5.7982035150876962e+07, -2.9974826924441910e+01, +3.7570106895683866e+00, +1.6287531827219033e+00
13-DEC-2028 18:40:00.0000 ET, +2.0772637793789528e+07, +1.3376372697288087e+08, +5.7983011969071597e+07, -2.9975345053267421e+01, +3.7536754898212918e+00, +1.6273074614782892e+00
13-DEC-2028 18:50:00.0000 ET, +2.0754652431430750e+07, +1.3376597817759898e+08, +5.7983987919825234e+07, -2.9975862734787043e+01, +3.7503402266625101e+00, +1.6258617127448887e+00
13-DEC-2028 19:00:00.0000 ET, +2.0736666758597247e+07, +1.3376822738114020e+08, +5.7984963003121391e+07, -2.9976379968990738e+01, +3.7470049001440082e+00, +1.6244159365442261e+00
13-DEC-2028 19:10:00.0000 ET, +2.0718680775557425e+07, +1.3377047458346650e+08, +5.7985937218943603e+07, -2.9976896755868459e+01, +3.7436695103177513e+00, +1.6229701328988266e+00
13-DEC-2028 19:20:00.0000 ET, +2.0700694482579671e+07, +1.3377271978453992e+08, +5.7986910567275390e+07, -2.9977413095410174e+01, +3.7403340572357040e+00, +1.6215243018312158e+00
13-DEC-2028 19:30:00.0000 ET, +2.0682707879932400e+07, +1.3377496298432253e+08, +5.7987883048100315e+07, -2.9977928987605853e+01, +3.7369985409498381e+00, +1.6200784433639206e+00
13-DEC-2028 19:40:00.0000 ET, +2.0664720967884015e+07, +1.3377720418277644e+08, +5.7988854661401950e+07, -2.9978444432445478e+01, +3.7336629615121213e+00, +1.6186325575194678e+00
13-DEC-2028 19:50:00.0000 ET, +2.0646733746702939e+07, +1.3377944337986372e+08, +5.7989825407163873e+07, -2.9978959429919030e+01, +3.7303273189745236e+00, +1.6171866443203855e+00
13-DEC-2028 20:00:00.0000 ET, +2.0628746216657594e+07, +1.3378168057554658e+08, +5.7990795285369664e+07, -2.9979473980016518e+01, +3.7269916133890213e+00, +1.6157407037892018e+00
13-DEC-2028 20:10:00.0000 ET, +2.0610758378016397e+07, +1.3378391576978718e+08, +5.7991764296002947e+07, -2.9979988082727939e+01, +3.7236558448075865e+00, +1.6142947359484463e+00
13-DEC-2028 20:20:00.0000 ET, +2.0592770231047798e+07, +1.3378614896254776e+08, +5.7992732439047351e+07, -2.9980501738043305e+01, +3.7203200132821967e+00, +1.6128487408206484e+00
13-DEC-2028 20:30:00.0000 ET, +2.0574781776020225e+07, +1.3378838015379055e+08, +5.7993699714486487e+07, -2.9981014945952634e+01, +3.7169841188648296e+00, +1.6114027184283388e+00
13-DEC-2028 20:40:00.0000 ET, +2.0556793013202135e+07, +1.3379060934347785e+08, +5.7994666122304015e+07, -2.9981527706445942e+01, +3.7136481616074630e+00, +1.6099566687940490e+00
13-DEC-2028 20:50:00.0000 ET, +2.0538803942861978e+07, +1.3379283653157192e+08, +5.7995631662483595e+07, -2.9982040019513281e+01, +3.7103121415620781e+00, +1.6085105919403100e+00
13-DEC-2028 21:00:00.0000 ET, +2.0520814565268207e+07, +1.3379506171803516e+08, +5.7996596335008904e+07, -2.9982551885144687e+01, +3.7069760587806564e+00, +1.6070644878896549e+00
13-DEC-2028 21:10:00.0000 ET, +2.0502824880689293e+07, +1.3379728490282993e+08, +5.7997560139863625e+07, -2.9983063303330191e+01, +3.7036399133151829e+00, +1.6056183566646172e+00
13-DEC-2028 21:20:00.0000 ET, +2.0484834889393706e+07, +1.3379950608591862e+08, +5.7998523077031471e+07, -2.9983574274059873e+01, +3.7003037052176420e+00, +1.6041721982877291e+00
13-DEC-2028 21:30:00.0000 ET, +2.0466844591649912e+07, +1.3380172526726367e+08, +5.7999485146496139e+07, -2.9984084797323781e+01, +3.6969674345400199e+00, +1.6027260127815262e+00
13-DEC-2028 21:40:00.0000 ET, +2.0448853987726409e+07, +1.3380394244682755e+08, +5.8000446348241389e+07, -2.9984594873111988e+01, +3.6936311013343062e+00, +1.6012798001685435e+00
13-DEC-2028 21:50:00.0000 ET, +2.0430863077891674e+07, +1.3380615762457277e+08, +5.8001406682250932e+07, -2.9985104501414586e+01, +3.6902947056524895e+00, +1.5998335604713170e+00
13-DEC-2028 22:00:00.0000 ET, +2.0412871862414211e+07, +1.3380837080046184e+08, +5.8002366148508541e+07, -2.9985613682221647e+01, +3.6869582475465608e+00, +1.5983872937123829e+00
13-DEC-2028 22:10:00.0000 ET, +2.0394880341562513e+07, +1.3381058197445735e+08, +5.8003324746997990e+07, -2.9986122415523255e+01, +3.6836217270685143e+00, +1.5969409999142781e+00
13-DEC-2028 22:20:00.0000 ET, +2.0376888515605088e+07, +1.3381279114652188e+08, +5.8004282477703035e+07, -2.9986630701309544e+01, +3.6802851442703441e+00, +1.5954946790995406e+00
13-DEC-2028 22:30:00.0000 ET, +2.0358896384810444e+07, +1.3381499831661803e+08, +5.8005239340607502e+07, -2.9987138539570594e+01, +3.6769484992040447e+00, +1.5940483312907081e+00
13-DEC-2028 22:40:00.0000 ET, +2.0340903949447110e+07, +1.3381720348470847e+08, +5.8006195335695185e+07, -2.9987645930296534e+01, +3.6736117919216138e+00, +1.5926019565103209e+00
13-DEC-2028 22:50:00.0000 ET, +2.0322911209783599e+07, +1.3381940665075590e+08, +5.8007150462949924e+07, -2.9988152873477482e+01, +3.6702750224750504e+00, +1.5911555547809173e+00
13-DEC-2028 23:00:00.0000 ET, +2.0304918166088447e+07, +1.3382160781472301e+08, +5.8008104722355545e+07, -2.9988659369103583e+01, +3.6669381909163561e+00, +1.5897091261250387e+00
