# Apophis->SpacecraftY in EME2000 (km, km/sec)
# columns: epoch, x, y, z, dx, dy, dz
13-DEC-2028 13:30:00.0000 ET, +9.1812238956495784e-01, +3.2640441228256822e-01, -1.4903616163025674e-01, -2.5037556905461658e-05, +1.1526778720193137e-05, -5.0927608680761564e-05
13-DEC-2028 13:40:00.0000 ET, +9.0258489361227134e-01, +3.3313720905529365e-01, -1.7950230843181594e-01, -2.6755365280888772e-05, +1.0911518033130419e-05, -5.0615537977710186e-05
13-DEC-2028 13:50:00.0000 ET, +8.8601468884863832e-01, +3.3949299664017563e-01, -2.0976177340691551e-01, -2.8479478278909813e-05, +1.0270073617043906e-05, -5.0238299748236427e-05
13-DEC-2028 14:00:00.0000 ET, +8.6840880885776495e-01, +3.4545605908423727e-01, -2.3977479598108656e-01, -3.0207137931355848e-05, +9.6024406347463067e-06, -4.9793702932164796e-05
13-DEC-2028 14:10:00.0000 ET, +8.4976600870096575e-01, +3.5101070402100787e-01, -2.6950031942612490e-01, -3.1935363158608788e-05, +8.9087040404566102e-06, -4.9279621483337375e-05
13-DEC-2028 14:20:00.0000 ET, +8.3008690005130914e-01, +3.5614131923584624e-01, -2.9889603611663518e-01, -3.3660945816755177e-05, +8.1890475539225890e-06, -4.8694015426292213e-05
13-DEC-2028 14:30:00.0000 ET, +8.0937408817830736e-01, +3.6083243462838765e-01, -3.2791844586592234e-01, -3.5380448538368668e-05, +7.4437626747339376e-06, -4.8034953437448385e-05
13-DEC-2028 14:40:00.0000 ET, +7.8763230958780317e-01, +3.6506878958932898e-01, -3.5652292833291860e-01, -3.7090204784095767e-05, +6.6732577053708458e-06, -4.7300637200313324e-05
13-DEC-2028 14:50:00.0000 ET, +7.6486856887885457e-01, +3.6883540575795226e-01, -3.8466383054839015e-01, -3.8786321434383062e-05, +5.8780666266393053e-06, -4.6489427372911062e-05
13-DEC-2028 15:00:00.0000 ET, +7.4109227322788607e-01, +3.7211766501014509e-01, -4.1229457041258311e-01, -4.0464684216478286e-05, +5.0588576480273588e-06, -4.5599870921498109e-05
13-DEC-2028 15:10:00.0000 ET, +7.1631536268304696e-01, +3.7490139243844234e-01, -4.3936775695915570e-01, -4.2120966147783376e-05, +4.2164412202669568e-06, -4.4630729388159745e-05
13-DEC-2028 15:20:00.0000 ET, +6.9055243424155699e-01, +3.7717294396855150e-01, -4.6583532803072836e-01, -4.3750640000717319e-05, +3.3517774820000319e-06, -4.3581008821980312e-05
13-DEC-2028 15:30:00.0000 ET, +6.6382085760806797e-01, +3.7891929810460967e-01, -4.9164870565845309e-01, -4.5348993716276725e-05, +2.4659825652134315e-06, -4.2449988952395818e-05
13-DEC-2028 15:40:00.0000 ET, +6.3614088023073023e-01, +3.8012815119766608e-01, -5.1675896941485078e-01, -4.6911150474530770e-05, +1.5603339137418931e-06, -4.1237253394811520e-05
13-DEC-2028 15:50:00.0000 ET, +6.0753571921522898e-01, +3.8078801545369201e-01, -5.4111704752364931e-01, -4.8432092579002413e-05, +6.3627411089715363e-07, -3.9942718846720835e-05
13-DEC-2028 16:00:00.0000 ET, +5.7803163759335618e-01, +3.8088831876616147e-01, -5.6467392525481863e-01, -4.9906689708598420e-05, -3.0458691828968939e-07, -3.8566663355948889e-05
13-DEC-2028 16:10:00.0000 ET, +5.4765800236068374e-01, +3.8041950531304358e-01, -5.8738086979049697e-01, -5.1329731389593267e-05, -1.2604716041254868e-06, -3.7109752803213301e-05
13-DEC-2028 16:20:00.0000 ET, +5.1644732180476982e-01, +3.7937313570998221e-01, -6.0918967026275472e-01, -5.2695963564937695e-05, -2.2294365459770547e-06, -3.5573064915672420e-05
13-DEC-2028 16:30:00.0000 ET, +4.8443525966467316e-01, +3.7774198539156362e-01, -6.3005289132615716e-01, -5.4000129155068203e-05, -3.2093766392277004e-06, -3.3958110198273083e-05
13-DEC-2028 16:40:00.0000 ET, +4.5166062387502831e-01, +3.7552013977563076e-01, -6.4992413814415806e-01, -5.5237012250059907e-05, -4.1980316944656583e-06, -3.2266849014749346e-05
13-DEC-2028 16:50:00.0000 ET, +4.1816532794332351e-01, +3.7270308468182611e-01, -6.6875833020863440e-01, -5.6401484984809742e-05, -5.1929956545996313e-06, -3.0501703781158298e-05
13-DEC-2028 17:00:00.0000 ET, +3.8399432320913224e-01, +3.6928779041641230e-01, -6.8651198109488532e-01, -5.7488557443700672e-05, -6.1917284929815985e-06, -2.8665566327140878e-05
13-DEC-2028 17:10:00.0000 ET, +3.4919550083320450e-01, +3.6527278791619894e-01, -7.0314348072793731e-01, -5.8493428831485401e-05, -7.1915707843433946e-06, -2.6761799047418408e-05
13-DEC-2028 17:20:00.0000 ET, +3.1381956269615852e-01, +3.6065823536181096e-01, -7.1861337652158863e-01, -5.9411539572657771e-05, -8.1897608809288880e-06, -2.4794229762405648e-05
13-DEC-2028 17:30:00.0000 ET, +2.7791986105107619e-01, +3.5544597373816966e-01, -7.3288464940839926e-01, -6.0238623260101896e-05, -9.1834545506682352e-06, -2.2767139820655471e-05
13-DEC-2028 17:40:00.0000 ET, +2.4155220732057850e-01, +3.4963956992799067e-01, -7.4592298063866835e-01, -6.0970757351700932e-05, -1.0169746848717919e-05, -2.0685245189676524e-05
13-DEC-2028 17:50:00.0000 ET, +2.0477465113283702e-01, +3.4324434608815169e-01, -7.5769700511270410e-01, -6.1604411514310572e-05, -1.1145695914812002e-05, -1.8553670495510713e-05
13-DEC-2028 18:00:00.0000 ET, +1.6764723131188153e-01, +3.3626739425926255e-01, -7.6817854706124322e-01, -6.2136492587132761e-05, -1.2108348332263734e-05, -1.6377916181621477e-05
13-DEC-2028 18:10:00.0000 ET, +1.3023170124099212e-01, +3.2871757541146851e-01, -7.7734283401484672e-01, -6.2564384790864746e-05, -1.3054765554497639e-05, -1.4163819034746808e-05
13-DEC-2028 18:20:00.0000 ET, +9.2591231609639085e-02, +3.2060550240699970e-01, -7.8516868528450612e-01, -6.2885984829271768e-05, -1.3982051018875616e-05, -1.1917506825516554e-05
13-DEC-2028 18:30:00.0000 ET, +5.4790094174427602e-02, +3.1194350667844251e-01, -7.9163867154516510e-01, -6.3099729983415580e-05, -1.4887377230398670e-05, -9.6453474975879879e-06
13-DEC-2028 18:40:00.0000 ET, +1.6893330613852699e-02, +3.0274558874148094e-01, -7.9673924262184048e-01, -6.3204619424121858e-05, -1.5768012438391638e-05, -7.3538941018021043e-06
13-DEC-2028 18:50:00.0000 ET, -2.1033589000025693e-02, +2.9302735300476629e-01, -8.0046082115578698e-01, -6.3200227576040753e-05, -1.6621346238619168e-05, -5.0498263543259391e-06
13-DEC-2028 19:00:00.0000 ET, -5.8925113352815479e-02, +2.8280592765953744e-01, -8.0279786050428548e-01, -6.3086709388028949e-05, -1.7444913604474202e-05, -2.7398900436070243e-06
13-DEC-2028 19:10:00.0000 ET, -9.6715957709883588e-02, +2.7209987075274755e-01, -8.0374886594258843e-01, -6.2864797332266834e-05, -1.8236416841258308e-05, -4.3083551108737180e-07
13-DEC-2028 19:20:00.0000 ET, -1.3434144749135474e-01, +2.6092906381738451e-01, -8.0331637899173636e-01, -6.2535790247043865e-05, -1.8993745030965845e-05, +1.8706435364899276e-06
13-DEC-2028 19:30:00.0000 ET, -1.7173785275814130e-01, +2.4931459468866479e-01, -8.0150692544404067e-01, -6.2101534319702382e-05, -1.9714990595339912e-05, +4.1579696448104634e-06
13-DEC-2028 19:40:00.0000 ET, -2.0884270904766380e-01, +2.3727863132362864e-01, -7.9833092838899467e-01, -6.1564396644218862e-05, -2.0398462662671985e-05, +6.4247384679393557e-06
13-DEC-2028 19:50:00.0000 ET, -2.4559512042867016e-01, +2.2484428856165223e-01, -7.9380258820589322e-01, -6.0927232493316694e-05, -2.1042697196096905e-05, +8.6647718499010257e-06
13-DEC-2028 20:00:00.0000 ET, -2.8193604094285757e-01, +2.1203548990784210e-01, -7.8793973211500845e-01, -6.0193346402709934e-05, -2.1646463531021667e-05, +1.0872166102442575e-05
13-DEC-2028 20:10:00.0000 ET, -3.1780853142527693e-01, +1.9887682635727602e-01, -7.8076363635634605e-01, -5.9366448850675317e-05, -2.2208767595789893e-05, +1.3041334813181782e-05
13-DEC-2028 20:20:00.0000 ET, -3.5315798906804480e-01, +1.8539341433075143e-01, -7.7229882450166598e-01, -5.8450609129946493e-05, -2.2728851753491112e-05, +1.5167045544603532e-05
13-DEC-2028 20:30:00.0000 ET, -3.8793234791043463e-01, +1.7161075465188355e-01, -7.6257284567092010e-01, -5.7450205655893201e-05, -2.3206191491209985e-05, +1.7244450053384530e-05
13-DEC-2028 20:40:00.0000 ET, -4.2208224900529806e-01, +1.5755459440164232e-01, -7.5161603661879428e-01, -5.6369874809670269e-05, -2.3640489205832057e-05, +1.9269107835467160e-05
13-DEC-2028 20:50:00.0000 ET, -4.5556117972307542e-01, +1.4325079329491763e-01, -7.3946127170120501e-01, -5.5214459343667747e-05, -2.4031665379065611e-05, +2.1237002976047906e-05
13-DEC-2028 21:00:00.0000 ET, -4.8832558222385264e-01, +1.2872519604601801e-01, -7.2614370470138079e-01, -5.3988957364748213e-05, -2.4379847499633722e-05, +2.3144554469398140e-05
13-DEC-2028 21:10:00.0000 ET, -5.2033493172310807e-01, +1.1400351195987030e-01, -7.1170050634347570e-01, -5.2698472954999880e-05, -2.4685357197756540e-05, +2.4988620428994088e-05
13-DEC-2028 21:20:00.0000 ET, -5.5155178567346952e-01, +9.9111202756752781e-02, -6.9617060109567497e-01, -5.1348168475235794e-05, -2.4948695605249700e-05, +2.6766496183225950e-05
13-DEC-2028 21:30:00.0000 ET, -5.8194180538545837e-01, +8.4073379419625005e-02, -6.7959440659059411e-01, -4.9943220542967216e-05, -2.5170528010414018e-05, +2.8475907579881871e-05
13-DEC-2028 21:40:00.0000 ET, -6.1147375199289189e-01, +6.8914708607555109e-02, -6.6201357862978449e-01, -4.8488778793875730e-05, -2.5351667469990186e-05, +3.0114999281470406e-05
13-DEC-2028 21:50:00.0000 ET, -6.4011945891409694e-01, +5.3659328971821130e-02, -6.4347076437448203e-01, -4.6989928659885448e-05, -2.5493058160540272e-05, +3.1682319195646822e-05
13-DEC-2028 22:00:00.0000 ET, -6.6785378315121313e-01, +3.8330777508850833e-02, -6.2400936592932243e-01, -4.5451658123272407e-05, -2.5595758641543569e-05, +3.3176799535663386e-05
13-DEC-2028 22:10:00.0000 ET, -6.9465453788172316e-01, +2.2951925904249548e-02, -6.0367331612850927e-01, -4.3878828620239876e-05, -2.5660925335612596e-05, +3.4597735198423924e-05
13-DEC-2028 22:20:00.0000 ET, -7.2050240884838324e-01, +7.5449266591268715e-03, -5.8250686793497897e-01, -4.2276150122214450e-05, -2.5689796474675730e-05, +3.5944760109344743e-05
13-DEC-2028 22:30:00.0000 ET, -7.4538085702868306e-01, -7.8688313382092590e-03, -5.6055439849774014e-01, -4.0648160310002917e-05, -2.5683676706117165e-05, +3.7217822124124982e-05
13-DEC-2028 22:40:00.0000 ET, -7.6927601000363099e-01, -2.3268758244969323e-02, -5.3786022855973881e-01, -3.8999207670698350e-05, -2.5643922502072082e-05, +3.8417157007338264e-05
13-DEC-2028 22:50:00.0000 ET, -7.9217654433250351e-01, -3.8635090232884806e-02, -5.1446845759803228e-01, -3.7333438439742543e-05, -2.5571928602343924e-05, +3.9543262173069283e-05
13-DEC-2028 23:00:00.0000 ET, -8.1407356111778861e-01, -5.3948908604707579e-02, -4.9042281476720206e-01, -3.5654786850694011e-05, -2.5469115356069938e-05, +4.0596870242370423e-05
